index,name,address,city,postalCode,phone,mobile,business_page,logo
334,Caesar's Restaurant and Confectionery,"Opp Choithram S/Market, Electra St","Abu Dhabi, UAE ",44514,+9702-6787244,+97056-5373990,https://www.yellowpages-uae.com/caesar-s-restaurant-and-confectionery-107719.html,
335,Caf Barbera,"Al Salam Tower, Dubai Media City","Dubai, UAE ",None,+9704-4468616,+97None,https://www.yellowpages-uae.com/caf-barbera-102752.html,
336,Cafe,"The Walk, Jumeirah Beach Residence, JBR","Dubai, UAE ",None,+9704-4281551,+97None,https://www.yellowpages-uae.com/caf--145303.html,
337,Cafe Arabesque,"Park Hyatt, Deira","Dubai, UAE ",None,+9704-3172222,+97None,https://www.yellowpages-uae.com/cafe-arabesque-175641.html,
338,Cafe Arabia,None,"Abu Dhabi, UAE ",None,+9702-6439699,+97None,https://www.yellowpages-uae.com/cafe-arabia-175636.html,
339,Cafe Belge,Ritz Carlton. DIFC,"Dubai, UAE ",None,+9704-3722323,+97None,https://www.yellowpages-uae.com/cafe-belge-175812.html,
340,Cafe Berlin Restaurant,"Grand Cinema Bldg, Al Buhaira Corniche","Sharjah, UAE ",None,+9706-5564564,+97None,https://www.yellowpages-uae.com/cafe-berlin-restaurant-146792.html,
341,Cafe D Alsace,Yas Marina,"Abu Dhabi, UAE ",None,+9702-4963412,+97None,https://www.yellowpages-uae.com/cafe-d-alsace-168557.html,
342,Cafe Diego,Al Khubeirah,"Abu Dhabi, UAE ",None,+9702-6772344,+97None,https://www.yellowpages-uae.com/cafe-diego-175682.html,
343,Cafe Du Roi LLC,TCA,"Abu Dhabi, UAE ",25024,+9702-6816367,+97None,https://www.yellowpages-uae.com/cafe-du-roi-llc-147167.html,
344,Cafe Julie,JLT,"Dubai, UAE ",None,+9704-3649477,+97None,https://www.yellowpages-uae.com/cafe-julie-147105.html,
345,Cafe Nikki,Pearl Jumeirah,"Dubai, UAE ",None,+9704-3766000,+97None,https://www.yellowpages-uae.com/cafe-nikki-175813.html,
346,Caliburger,Shk Zayed Road,"Dubai, UAE ",None,+97800 2254,+97None,https://www.yellowpages-uae.com/caliburger-175556.html,
347,Calicut Town Restaurant,"Al Najoom Bldg, Bhnd DNATA, Port Saeed, Deira","Dubai, UAE ",None,+9704-2698862,+97055-8803166,https://www.yellowpages-uae.com/calicut-town-restaurant-175332.html,
348,Can Can Brasserie,"Ritz Carlton, DIFC","Dubai, UAE ",None,+9704-3722222,+97None,https://www.yellowpages-uae.com/can-can-brasserie-175814.html,
349,Canopy Restaurant,Hamdan St,"Abu Dhabi, UAE ",38541,+9702-6788036,+97None,https://www.yellowpages-uae.com/canopy-restaurant-141445.html,
350,Cantina Laredo,"Khalidiya Mall, Khalidiya Street","Abu Dhabi, UAE ",None,+97600 561112,+97None,https://www.yellowpages-uae.com/cantina-laredo-175633.html,
351,Canton Restaurant,None,"Sharjah, UAE ",None,+9706-5676310,+97050-8888317,https://www.yellowpages-uae.com/canton-restaurant-68558.html,
352,Capitol Hotel,"Al Mina Rd, Satwa","Dubai, UAE ",33228,+9704-3460111,+97None,https://www.yellowpages-uae.com/capitol-hotel-119224.html,
353,Captain Pastry,TCA,"Abu Dhabi, UAE ",None,+9702-4452995,+97056-6678194,https://www.yellowpages-uae.com/captain-pastry-175589.html,
354,Caramel Restaurant & Lounge,Saadiyat Island,"Abu Dhabi, UAE ",None,+9702-6783344,+97None,https://www.yellowpages-uae.com/caramel-restaurant-lounge-175683.html,
355,Caravan Restaurant,Electra St,"Abu Dhabi, UAE ",42757,+9702-6393370,+97None,https://www.yellowpages-uae.com/caravan-restaurant-110377.html,
356,Caribou Coffee,Dubai Mall LG,"Dubai, UAE ",None,+9704-3399212,+97None,https://www.yellowpages-uae.com/caribou-coffee-106902.html,
357,Caribou Coffee,Garhoud,"Dubai, UAE ",None,+9704-2833577,+97None,https://www.yellowpages-uae.com/caribou-coffee-147113.html,
358,Carlton Tower Hotel,"Creek Side, Baniyas St, Deira","Dubai, UAE ",1955,+9704-2227111,+97None,https://www.yellowpages-uae.com/carlton-tower-hotel-120188.html,
359,Carnival By Tresind,"Burj Daman Building, DIFC","Dubai, UAE ",None,+9704-4218665,+97None,https://www.yellowpages-uae.com/carnival-by-tresind-175815.html,
360,Casa De Tapas,Dubai Creek Golf,"Dubai, UAE ",None,+9704-4161800,+97None,https://www.yellowpages-uae.com/casa-de-tapas-175816.html,
361,Castlerock Restaurant,Hamdan St,"Abu Dhabi, UAE ",55217,+9702-6348345,+97None,https://www.yellowpages-uae.com/castlerock-restaurant-115016.html,
362,Catch Restaurant & Lounge,"Restaurant Unit 2, Nation Riviera, Nation Towers","Abu Dhabi, UAE ",None,+9702-6110909,+97None,https://www.yellowpages-uae.com/catch-restaurant-lounge-168556.html,
363,Cavalli Club,"Farimont Hotel, Shk Zayed Road","Dubai, UAE ",None,+9704-3329260,+97None,https://www.yellowpages-uae.com/cavalli-club-175817.html,
364,Cedar Lounge,Farimont Bab Al bahr,"Abu Dhabi, UAE ",None,+9702-6543223,+97None,https://www.yellowpages-uae.com/cedar-lounge-175684.html,
365,Cettinad Restaurant,Next to Abu Dhabi Flour Mill,"Abu Dhabi, UAE ",105777,+9702-6777699,+97None,https://www.yellowpages-uae.com/cettinad-restaurant-122707.html,
366,Ceviche,"Emirates Financial Towers, DIFC","Dubai, UAE ",None,+9704-3266333,+97None,https://www.yellowpages-uae.com/ceviche-175819.html,
367,Cha Cha Chai,"Amna Bldg, Near IT Plaza","Dubai, UAE ",None,+9704-3263261,+97050-4453487,https://www.yellowpages-uae.com/cha-cha-chai-175239.html,
368,Chaanakyas Restaurant LLLC,"Food Court, Al Khail Mall, Al Quoz","Dubai, UAE ",None,+9704-3306066,+97None,https://www.yellowpages-uae.com/chaanakyas-restaurant-lllc-102754.html,
369,Chaavadi Restaurant,"ESBIJ Street, Behind Emirates Islamic Bank, Opp. Royal Ascot Hotel","Dubai, UAE ",None,+9704-3595057,+97055-8780083,https://www.yellowpages-uae.com/chaavadi-restaurant-175311.html,
370,Chai Chat,None,"Dubai, UAE ",None,+9704-3412331,+97050-6605689,https://www.yellowpages-uae.com/chai-chat-175366.html,
371,Chamas,"Ground floor, Intercontinental Hotel, Bainuna Street","Abu Dhabi, UAE ",None,+9702-6666888,+97None,https://www.yellowpages-uae.com/chamas-175685.html,
372,Charleys Grilled Subs,Deira City Center,"Dubai, UAE ",32674,+9704-3520500,+97None,https://www.yellowpages-uae.com/charleys-grilled-subs-119254.html,
373,Chatime,Electra and Salam Intersection,"Abu Dhabi, UAE ",None,+97050-1275389,+97None,https://www.yellowpages-uae.com/chatime-175529.html,
374,Chautari Restaurant,Bur Dubai,"Dubai, UAE ",242656,+9704-3571606,+97056-5080711,https://www.yellowpages-uae.com/chautari-restaurant-172962.html,
375,Chelsea Restaurant LLC,"Yasmin Bldg, Near Cricket Stadium","Sharjah, UAE ",None,+9706-5438400,+97None,https://www.yellowpages-uae.com/chelsea-restaurant-llc-151049.html,
376,Chennai Restaurant LLC,Abu Shagara,"Sharjah, UAE ",35172,+9706-5542288,+97055-3677350,https://www.yellowpages-uae.com/chennai-restaurant-llc-175214.html,
377,Cherry Blossoms Restaurant LLC,Jebel Ali,"Jebel Ali, UAE ",4511,+9704-8847533,+97None,https://www.yellowpages-uae.com/cherry-blossoms-restaurant-llc-149218.html,
378,Chettinadu City Restaurant,"Near Manama Supermarket, Kalba Rd","Sharjah, UAE ",None,+9706-5353596,+97None,https://www.yellowpages-uae.com/chettinadu-city-restaurant-148172.html,
379,Chhappan Bhog Restaurant,Salam St,"Abu Dhabi, UAE ",7789,+9702-6778864,+97None,https://www.yellowpages-uae.com/chhappan-bhog-restaurant-110354.html,
380,Chicken Corner,"Al Zahara St, Nasseria","Sharjah, UAE ",38426,+9706-5640070,+97None,https://www.yellowpages-uae.com/chicken-corner-148168.html,
381,Chicken Cottage,Jumeirah,"Dubai, UAE ",None,+9704-4405994,+97None,https://www.yellowpages-uae.com/chicken-cottage-146604.html,
382,Chicken Express Restaurant LLC,"Bhnd Bank Sedarat Iran, Rolla","Sharjah, UAE ",None,+9706-5686969,+97None,https://www.yellowpages-uae.com/chicken-express-restaurant-llc-151046.html,
383,Chicken Street Cafeteria,"Behind Mashreq Bank, Electra Street","Abu Dhabi, UAE ",None,+9702-6794989,+97055-4883399,https://www.yellowpages-uae.com/chicken-street-cafeteria-175515.html,
384,Chicken Tikka Inn Restaurant,Near Qassimia R/A,"Sharjah, UAE ",1724,+9706-5749822,+97None,https://www.yellowpages-uae.com/chicken-tikka-inn-restaurant-138545.html,
385,Chicking Fried Chicken,"Century Mall, Deira","Dubai, UAE ",87548,+9704-2967232,+97None,https://www.yellowpages-uae.com/chicking-fried-chicken-108096.html,
386,Chik Bites Restaurant & Cafe,"Damascus St,","Dubai, UAE ",None,+9704-2344994,+97052-5212137,https://www.yellowpages-uae.com/chik-bites-restaurant-cafe-175497.html,
387,Chin Chin,Dubai Marina,"Dubai, UAE ",None,+9704-4503543,+97None,https://www.yellowpages-uae.com/chin-chin-147396.html,
388,China Grill,Al Sufouh,"Dubai, UAE ",None,+9704-5117333,+97None,https://www.yellowpages-uae.com/china-grill-175624.html,
389,China Park,Al Nahda,"Sharjah, UAE ",None,+9706-5313900,+97None,https://www.yellowpages-uae.com/china-park-147580.html,
390,China Wind Restaurant,"Near Classic Computers, King Faisal Rd","Sharjah, UAE ",49816,+9706-5723052,+97None,https://www.yellowpages-uae.com/china-wind-restaurant-129364.html,
391,China Wok Restaurant,"Opp Dubai Grand Hotel, Bhnd Sunrise S/Market","Dubai, UAE ",3132,+9704-2631590,+97056-4454068,https://www.yellowpages-uae.com/china-wok-restaurant-175207.html,
392,Chinchaaus Restaurant,"Amman St, Al Nahda 2","Dubai, UAE ",None,+9704-2510011,+97None,https://www.yellowpages-uae.com/chinchaaus-restaurant-141979.html,
393,Chinese Star Restaurant,Al Wahda,"Sharjah, UAE ",None,+9706-5720898,+97None,https://www.yellowpages-uae.com/chinese-star-restaurant-146806.html,
394,Chival,The City Walk,"Dubai, UAE ",None,+9704-4033111,+97None,https://www.yellowpages-uae.com/chival-175820.html,
395,Choice Refreshment and Grills,"Behind ADNOC, Salam Street","Abu Dhabi, UAE ",None,+9702-6712151,+97050-8364765,https://www.yellowpages-uae.com/choice-refreshment-grills-175527.html,
396,Choice Restaurant,Old Passport Rd,"Abu Dhabi, UAE ",27207,+9702-6416587,+97None,https://www.yellowpages-uae.com/choice-restaurant-135169.html,
397,Choice Restaurant,"Near Gulf Cinema, Al Nakheel","Ras Al Khaimah, UAE ",4966,+9707-2226225,+97None,https://www.yellowpages-uae.com/choice-restaurant-116323.html,
398,Choices,"Yas Island, Rotana Hotel","Abu Dhabi, UAE ",None,+9702-6564000,+97None,https://www.yellowpages-uae.com/choices-142517.html,
399,Chops N Hopes Restaurant,"Behind Mall Of Emirates, Barsha 1","Dubai, UAE ",37201,+9704-3654446,+97054-7181805,https://www.yellowpages-uae.com/chops-n-hopes-restaurant-175602.html,
400,Chowking,Al Nahda 2,"Dubai, UAE ",None,+9704-2382837,+97None,https://www.yellowpages-uae.com/chowking-110151.html,
401,Chowking Orient Restaurant,"G-39, Al Ghurair City, Deira","Dubai, UAE ",285849,+9704-2288377,+97None,https://www.yellowpages-uae.com/chowking-orient-restaurant-142989.html,
402,Chuck Wagon Restaurant - Pearl Hotel,Sh Rashid Palace Road,"Umm Al Quwain, UAE ",887,+9706-7666678,+97None,https://www.yellowpages-uae.com/chuck-wagon-restaurant-pearl-hotel-15872.html,
403,Cinema New Restaurant,"SEWA Bldg, Near Sharjah Cinema, Al Mina Rd","Sharjah, UAE ",167,+9706-5681006,+97None,https://www.yellowpages-uae.com/cinema-new-restaurant-131468.html,
404,Cipriani,"Gate Village 10, Building 3, DIFC","Dubai, UAE ",None,+9704-3470003,+97None,https://www.yellowpages-uae.com/cipriani-175631.html,
405,Circo,"Inter Continental, Al Bateen","Abu Dhabi, UAE ",None,+9702-6666888,+97None,https://www.yellowpages-uae.com/circo-175686.html,
406,City Burger,Bhnd Al Mariya Cinema,"Abu Dhabi, UAE ",None,+9702-6716788,+97None,https://www.yellowpages-uae.com/city-burger-145579.html,
407,City Diamond Restaurant,"Near Super Bonanza Hypermarket, Al Quoz 2","Dubai, UAE ",None,+9704-3466617,+97None,https://www.yellowpages-uae.com/city-diamond-restaurant-144270.html,
408,City Grill Restaurant,"Near Al Fahidi Souq, Street 33, Meena Bazar","Dubai, UAE ",None,+9704-3529277,+97056-8586655,https://www.yellowpages-uae.com/city-grill-restaurant-175289.html,
409,City House Restaurant,None,"Abu Dhabi, UAE ",None,+9702-6343060,+97None,https://www.yellowpages-uae.com/city-house-restaurant-175505.html,
410,City King Restaurant,"Behind Lulu Centre, Salam Street","Abu Dhabi, UAE ",None,+9702-6778848,+97056-7033724,https://www.yellowpages-uae.com/city-king-restaurant-175550.html,
411,City Palace Restaurant,Khalifa St,"Abu Dhabi, UAE ",31912,+9702-6262762,+97None,https://www.yellowpages-uae.com/city-palace-restaurant-131343.html,
412,City Restaurant,Satwa,"Dubai, UAE ",None,+9704-3312380,+97None,https://www.yellowpages-uae.com/city-restaurant-103618.html,
413,Classio Master Restaurant & Cafeteria,"Near Fahidi Metro Station, Musalla","Dubai, UAE ",None,+9704-3939732,+97055-5115772,https://www.yellowpages-uae.com/classio-master-restaurant-cafeteria-175577.html,
414,Claw BBQ,Downtown Dubai,"Dubai, UAE ",None,+9704-4322300,+97None,https://www.yellowpages-uae.com/claw-bbq-175822.html,
415,Cleopatra Restaurant - Ana Palace Hotel,"G Flr, Near Sabkha Bus Stn, Deira","Dubai, UAE ",28490,+9704-2258899,+97None,https://www.yellowpages-uae.com/cleopatra-restaurant-ana-palace-hotel-62622.html,
416,Clinton Street Baking Company,Downtown Dubai,"Dubai, UAE ",None,+9704-4281331,+97None,https://www.yellowpages-uae.com/clinton-street-baking-company-175750.html,
417,Coastal Butlers Restaurant LLC,Damascus Street,"Dubai, UAE ",None,+9704-2884428,+97055-4468227,https://www.yellowpages-uae.com/coastal-butlers-restaurant-llc-175323.html,
418,Coco's Restaurant,Jumeirah Beach Residence,"Dubai, UAE ",32100,+9704-4243740,+97None,https://www.yellowpages-uae.com/coco-s-restaurant-115488.html,
419,Colombo Restaurant,"Morejag New Mosque Rd, National Paint","Sharjah, UAE ",70587,+97055-2912477,+97None,https://www.yellowpages-uae.com/colombo-restaurant-148170.html,
420,Common Grounds,Dubai Marina,"Dubai, UAE ",None,+97050-4781094,+97None,https://www.yellowpages-uae.com/common-grounds-175751.html,
421,Comptoir 102,Jumeirah Beach Road,"Dubai, UAE ",None,+9704-3854555,+97None,https://www.yellowpages-uae.com/comptoir-102-175752.html,
422,Cook Hall,Al Habtoor City,"Dubai, UAE ",None,+9704-4373333,+97None,https://www.yellowpages-uae.com/cook-hall-175823.html,
423,Coopers Restaurant,"Park Rotana, Al Matar","Abu Dhabi, UAE ",None,+9702-6573333,+97None,https://www.yellowpages-uae.com/coopers-restaurant-175687.html,
424,Corner Cafe,"X2 Tower, Ground Floor","Dubai, UAE ",None,+9704-4564984,+97055-8778176,https://www.yellowpages-uae.com/corner-cafe-175302.html,
425,Countryside,"Fakhruddin Executive Building, International City","Dubai, UAE ",None,+97800-2686879,+97None,https://www.yellowpages-uae.com/countryside-67368.html,
426,Couqley,"Laguna Tower, JLT","Dubai, UAE ",None,+9704-5149339,+97None,https://www.yellowpages-uae.com/couqley-175824.html,
427,Coya,None,"Dubai, UAE ",None,+9704-3169600,+97None,https://www.yellowpages-uae.com/coya-175688.html,
428,Creek Restaurant,Al Nahda,"Sharjah, UAE ",None,+9706-5365466,+97None,https://www.yellowpages-uae.com/creek-restaurant-151064.html,
429,CuiScene,Farimont Bab Al Bahr,"Abu Dhabi, UAE ",None,+9702-6543238,+97None,https://www.yellowpages-uae.com/cuiscene-175690.html,
430,Culinary Boutique,Jumeirah 1,"Dubai, UAE ",None,+9704-3450023,+97None,https://www.yellowpages-uae.com/culinary-boutique-175825.html,
431,Curry Express,"Ramla Mall Food Court, DIP","Jebel Ali, UAE ",None,+9704-8847868,+97None,https://www.yellowpages-uae.com/curry-express-147106.html,
432,"Curry House, The",Electra St,"Abu Dhabi, UAE ",44251,+9702-6328860,+97None,https://www.yellowpages-uae.com/curry-house-the-130534.html,
433,Curry Leaf,"Al Mussalla Tower, Bur Dubai","Dubai, UAE ",None,+9704-3978940,+97None,https://www.yellowpages-uae.com/curry-leaf-67689.html,
434,Curry Toast,"opposite BurJuman Centre, Bur Dubai","Dubai, UAE ",None,+9704-3547477,+97None,https://www.yellowpages-uae.com/curry-toast-67374.html,
435,D Bar & Grill,Dubai World Trade Centre,"Dubai, UAE ",None,+97050-7240471,+97None,https://www.yellowpages-uae.com/d-bar-grill-175826.html,
436,Dai Pai Dong,None,"Abu Dhabi, UAE ",None,+9702-8135552,+97None,https://www.yellowpages-uae.com/dai-pai-dong-175691.html,
437,Dai Shi Dai,"Murjan 1, Jumeirah Beach Residence","Dubai, UAE ",None,+9704-4270268,+97None,https://www.yellowpages-uae.com/dai-shi-dai-67690.html,
438,Daily Restaurant,Qusais,"Dubai, UAE ",32645,+9704-2673708,+97None,https://www.yellowpages-uae.com/daily-restaurant-119209.html,
439,Dakshin,"Lotus Hotel, Opp Al Ghurair City","Dubai, UAE ",None,+9704-2278888,+97None,https://www.yellowpages-uae.com/dakshin-67691.html,
440,Dalchini,None,"Abu Dhabi, UAE ",None,+9702-4917977,+97None,https://www.yellowpages-uae.com/dalchini-145482.html,
441,Dallas Restaurant,"Bin Suloom Bldg, Al Shaab Colony, Deira","Dubai, UAE ",83171,+9704-2691178,+97None,https://www.yellowpages-uae.com/dallas-restaurant-132850.html,
442,Dar Al Mandi Restaurant Kitchen,"Near Al Safa Supermarket, Electra Street","Abu Dhabi, UAE ",None,+9702-6330066,+97056-8360200,https://www.yellowpages-uae.com/dar-al-mandi-restaurant-kitchen-175513.html,
443,Dar Ward Restaurant,Al Ittihad Road,"Sharjah, UAE ",83874,+9706-5222411,+97None,https://www.yellowpages-uae.com/dar-ward-restaurant-175594.html,
444,Dasprakash Rest,"Near Day to Day, Karama","Dubai, UAE ",111810,+9704-3965595,+97None,https://www.yellowpages-uae.com/dasprakash-rest-128989.html,
445,Day Fresh Restaurant,"Bhnd Al Moosa Tower, Satwa","Dubai, UAE ",205,+9704-3289488,+97None,https://www.yellowpages-uae.com/day-fresh-restaurant-143702.html,
446,De La Costa,Saadiyat Island,"Abu Dhabi, UAE ",None,+9702-6563500,+97None,https://www.yellowpages-uae.com/de-la-costa-175692.html,
447,De Thali,Madinat Zayed,"Abu Dhabi, UAE ",None,+9702-6278644,+97None,https://www.yellowpages-uae.com/de-thali-145638.html,
448,Dean & Deluca,"Souk Al Bahar, Dubail Mall","Dubai, UAE ",None,+9704-4200336,+97None,https://www.yellowpages-uae.com/dean-deluca-175753.html,
449,Deena Leena Restaurant,"Opp Concorde Cinema, Al Zahra St","Sharjah, UAE ",28390,+9706-5617161,+97None,https://www.yellowpages-uae.com/deena-leena-restaurant-115280.html,
450,Delhi Cafeteria,Al Qasimia Street,"Sharjah, UAE ",None,+9706-5722828,+97050-2420943,https://www.yellowpages-uae.com/delhi-cafeteria-175575.html,
451,Delhi Darbar Bombay Restaurant,"Naif Rd, Deira","Dubai, UAE ",34496,+9704-2356161,+97None,https://www.yellowpages-uae.com/delhi-darbar-bombay-restaurant-117373.html,
452,Delhi Darbar Restaurant LLC,"Zabeel Rd, Karama","Dubai, UAE ",34496,+9704-3347171,+97None,https://www.yellowpages-uae.com/delhi-darbar-restaurant-llc-114029.html,
453,Delhi Karachi Restaurant,National Paints,"Sharjah, UAE ",None,+9706-5343470,+97None,https://www.yellowpages-uae.com/delhi-karachi-restaurant-146791.html,
454,Delhis deli,"Times Square Centre, Sh Zayed Rd","Dubai, UAE ",None,+9704-3234844,+97None,https://www.yellowpages-uae.com/delhis-deli-143560.html,
455,Delicacy Sweets & Bakers LLC,"Shop 1, Al Nahda 2 building, Baghdad Street","Dubai, UAE ",None,+9704-2568664,+97None,https://www.yellowpages-uae.com/delicacy-sweets-bakers-llc-175249.html,
456,Delicia Restaurant LLC,"Mussafah 10, Sanayya","Abu Dhabi, UAE ",None,+9702-5550071,+97None,https://www.yellowpages-uae.com/delicia-restaurant-llc-145483.html,
457,Delight Calicut LLC,Oasis Center,"Dubai, UAE ",None,+9704-3466706,+97None,https://www.yellowpages-uae.com/delight-calicut-llc-145304.html,
458,Delphine Restaurant & Bar,"The H Dubai, Shk Zayed Road","Dubai, UAE ",None,+9704-5018623,+97None,https://www.yellowpages-uae.com/delphine-restaurant-bar-175827.html,
459,Desi Max Restaurant & Sweets LLC,Near Etisalat Office,"Dubai, UAE ",None,+9780033747,+97None,https://www.yellowpages-uae.com/desi-max-restaurant-sweets-llc-175308.html,
460,Desl Hut Restaurant,"Behind Grand City Mall, Al Quoz Industrial Area 4","Dubai, UAE ",None,+9704-3383283,+97050-9098139,https://www.yellowpages-uae.com/desl-hut-restaurant-175547.html,
461,Dhaba Restaurant,"Behind Sunrise Supermarket, Al Qusais","Dubai, UAE ",47351,+9704-2611685,+97055-8286907,https://www.yellowpages-uae.com/dhaba-restaurant-175226.html,
462,Dhe Chef,"Bhnd KM Trdg, Abu Shagara","Sharjah, UAE ",None,+9706-5445060,+97054-4478160,https://www.yellowpages-uae.com/dhe-chef-175649.html,
463,Diamond City Restaurant LLC,Mussafah 10,"Abu Dhabi, UAE ",None,+9702-5553064,+97None,https://www.yellowpages-uae.com/diamond-city-restaurant-llc-145336.html,
464,Dibba Bakes,Abu Shagara,"Sharjah, UAE ",None,+9706-5348066,+97055-8752215,https://www.yellowpages-uae.com/dibba-bakes-175365.html,
465,Din Tai Fung,Mall Of The Emirates,"Dubai, UAE ",None,+9704-2651288,+97None,https://www.yellowpages-uae.com/din-tai-fung-175628.html,
466,Dine At Moonvalley BBQ Restaurant,"18B Street, Behind NBF Bank, Bur Dubai","Dubai, UAE ",11893,+9704-3966412,+97056-9925992,https://www.yellowpages-uae.com/dine-at-moonvalley-bbq-restaurant-179088.html,
467,Diplomat Restaurant,"Bhnd Sharjah Water & Elec Dept Bldg, Mina Rd","Sharjah, UAE ",2998,+9706-5696944,+97None,https://www.yellowpages-uae.com/diplomat-restaurant-132400.html,
468,Diwan Al Badia,"Al Badia Golf Club, DFC","Dubai, UAE ",None,+9704-7011128,+97None,https://www.yellowpages-uae.com/diwan-al-badia-67692.html,
469,Docklands,"Dhow Palace Hotel, Bur Dubai","Dubai, UAE ",None,+9704-3599992,+97None,https://www.yellowpages-uae.com/docklands-67693.html,
470,Dome Cafe,"Bin Soughat Centre, Rashidiya","Dubai, UAE ",6774,+9704-2844498,+97None,https://www.yellowpages-uae.com/dome-cafe-145126.html,
471,Domino's Pizza,"Near Millenium Hotel, Corniche Rd","Sharjah, UAE ",None,+9706-5569909,+97None,https://www.yellowpages-uae.com/domino-s-pizza-110778.html,
472,Doner Deli,Opposite Lulu Hypermarket,"Dubai, UAE ",None,+97800 6936637,+97None,https://www.yellowpages-uae.com/doner-deli-175352.html,
473,Doner Force,"X2 Tower, Lake View, Cluster X","Dubai, UAE ",None,+9780036723,+97None,https://www.yellowpages-uae.com/doner-force-175261.html,
474,Doner Kebab,"Ground Level, SIT Tower,","Dubai, UAE ",None,+9704-3207767,+97056-1013332,https://www.yellowpages-uae.com/doner-kebab-175258.html,
475,Dosa Hut Restaurant,Al Manama Hyper Market,"Fujairah, UAE ",None,+9709-2233474,+97052-4377155,https://www.yellowpages-uae.com/dosa-hut-restaurant-170734.html,
476,Dragon Bao Bao Cafeteria,"G-1, National Cinema Building, Hamdan Street, Al Markaziya","Abu Dhabi, UAE ",None,+9702-6742235,+97056-6699186,https://www.yellowpages-uae.com/dragon-bao-bao-cafeteria-176359.html,
477,Dukkan Falafel,None,"Jebel Ali, UAE ",None,+9704-8876220,+97None,https://www.yellowpages-uae.com/dukkan-falafel-148057.html,
478,Dumpling Queen Restaurant FZCO,Intl City,"Dubai, UAE ",39398,+9704-3674558,+97None,https://www.yellowpages-uae.com/dumpling-queen-restaurant-fzco-137988.html,
479,Dunes Cuisine,"Muhaisnah, Ghusais","Dubai, UAE ",None,+9704-2540022,+97None,https://www.yellowpages-uae.com/dunes-cuisine-145484.html,
480,DUO,Jumeirah Beach Residence,"Dubai, UAE ",None,+9704-4233785,+97None,https://www.yellowpages-uae.com/duo-102775.html,
481,Dustys,DIFC,"Dubai, UAE ",None,+9704-3545435,+97None,https://www.yellowpages-uae.com/dustys-175828.html,
482,DXB Grill,Millennium Airport Hotel,"Dubai, UAE ",None,+9704-7028888,+97None,https://www.yellowpages-uae.com/dxb-grill-175829.html,
483,Dynasty Chinese Restaurant,"Ramada Hotel, Bur Dubai","Dubai, UAE ",None,+9704-3519999,+97None,https://www.yellowpages-uae.com/dynasty-chinese-restaurant-143808.html,
484,E T Sushi,"Ground Floor, Jumeirah Emirates Tower Hotel, Sheikh Zyed Road","Dubai, UAE ",72127,+9704-3198088,+97None,https://www.yellowpages-uae.com/e-t-sushi-149161.html,
485,Eagle Restaurant,"Near Abu Hail Pharmacy, Hor Al Anz, Deira","Dubai, UAE ",10349,+9704-2694997,+97None,https://www.yellowpages-uae.com/eagle-restaurant-115739.html,
486,Eastern Food Restaurant,Al Qusais,"Dubai, UAE ",235071,+9704-2671045,+97None,https://www.yellowpages-uae.com/eastern-food-restaurant-150802.html,
487,Eat & Treat Restaurant LLC,Ras Al Khor,"Dubai, UAE ",29417,+9704-3334275,+97None,https://www.yellowpages-uae.com/eat-treat-restaurant-llc-142816.html,
488,Eat and Drink Group of Restaurants,"Khaleefa Bin Din Bldg, Near Bus Station, Satwa","Dubai, UAE ",65892,+9704-3496003,+97None,https://www.yellowpages-uae.com/eat-and-drink-group-of-restaurants-107822.html,
489,Eat Greek,JBR,"Dubai, UAE ",None,+9704-4305249,+97None,https://www.yellowpages-uae.com/eat-greek-175754.html,
490,Eat Max Cafeteria,"Behind Emax, Salim Bin Omar Street","Sharjah, UAE ",None,+9706-5538706,+97055-9454476,https://www.yellowpages-uae.com/eat-max-cafeteria-175240.html,
491,Eat n Joy Restaurant & Cafeteria,"Behind BHS, Hamdan Street","Abu Dhabi, UAE ",None,+9702-6322216,+97050-1325032,https://www.yellowpages-uae.com/eat-n-joy-restaurant-cafeteria-175516.html,
492,Eat Route,"Opposite Tasheel, King Abdul Azizi Street","Sharjah, UAE ",None,+9706-5440676,+97056-2931779,https://www.yellowpages-uae.com/eat-route-175599.html,
493,Eataly,Dubai Mall,"Dubai, UAE ",None,+9704-3308899,+97None,https://www.yellowpages-uae.com/eataly-175755.html,
494,Eclipse Bar,"Intercontinental Hotel, Dubai Festival City","Dubai, UAE ",None,+9704-7011111,+97None,https://www.yellowpages-uae.com/eclipse-bar-142734.html,
495,Elco Restaurants,"Shop 7, Al Arti Bldg, Zabeel Rd,","Dubai, UAE ",115719,+9704-3972787,+9704-3972788,https://www.yellowpages-uae.com/elco-restaurants-175502.html,
496,Eldorado Restaurant,Electra St,"Abu Dhabi, UAE ",None,+9702-6761848,+97None,https://www.yellowpages-uae.com/eldorado-restaurant-145639.html,
497,Elevation Burger,"Latifa Tower, Near Crown Plaza, Shk Zayed Road","Dubai, UAE ",None,+9704-3880000,+97None,https://www.yellowpages-uae.com/elevation-burger-175756.html,
498,Elia Greek Restaurant,"Majestic Hotel Tower, Bur Dubai","Dubai, UAE ",None,+9704-3598888,+97None,https://www.yellowpages-uae.com/elia-greek-restaurant-175830.html,
499,Eloquent Elephant,"Taj Dubai, Business Bay","Dubai, UAE ",None,+9704-4383100,+97None,https://www.yellowpages-uae.com/eloquent-elephant-175832.html,
